link;categoria
https://produto.mercadolivre.com.br/MLB-3123938674-memoria-ram-fury-color-preto-16gb-ddr4-hyperx-hx32c15pb316-_JM#position=4&search_layout=grid&type=item&tracking_id=ec482443-c722-423c-b6d6-111838385f30;TESTE
https://produto.mercadolivre.com.br/MLB-2757903603-memoria-ram-gamer-hyperx-ddr4-16gb-3200mhz-cl22-cdissipador-_JM#position=5&search_layout=grid&type=item&tracking_id=ec482443-c722-423c-b6d6-111838385f30;TESTE
https://www.mercadolivre.com.br/memoria-kingston-fury-beast-16gb-3600mhz-ddr4-com-nf/p/MLB20678597?pdp_filters=category:MLB1694#searchVariation=MLB20678597&position=2&search_layout=grid&type=product&tracking_id=ec482443-c722-423c-b6d6-111838385f30;TESTE
https://produto.mercadolivre.com.br/MLB-2021337964-memoria-ram-hyperx-fury-de-8gb-ddr4-3000mhz-_JM#position=6&search_layout=grid&type=item&tracking_id=ec482443-c722-423c-b6d6-111838385f30;TESTE
https://produto.mercadolivre.com.br/MLB-3217748575-memoria-para-desktop-16gb-3600mhz-ddr4-kingston-fury-beast-_JM#position=7&search_layout=grid&type=item&tracking_id=ec482443-c722-423c-b6d6-111838385f30;TESTE
https://produto.mercadolivre.com.br/MLB-3206560127-memoria-pc-ddr4-16gb-3600-kf436c18bb16-fury-beast-kingston-_JM#position=8&search_layout=grid&type=item&tracking_id=ec482443-c722-423c-b6d6-111838385f30;TESTE
https://produto.mercadolivre.com.br/MLB-3206546277-memoria-pc-ddr4-16gb-3600-fury-beast-kingston-kf436c18bb16-_JM#position=9&search_layout=grid&type=item&tracking_id=ec482443-c722-423c-b6d6-111838385f30;TESTE
https://produto.mercadolivre.com.br/MLB-3206559139-memoria-ram-ddr4-16gb-3600-pc-beast-kingston-kf436c18bb16-_JM#position=10&search_layout=grid&type=item&tracking_id=ec482443-c722-423c-b6d6-111838385f30;TESTE
https://produto.mercadolivre.com.br/MLB-2638529634-memoria-ram-fury-ddr4-color-preto-16gb-hyperx-hx426c16fb316-_JM#position=11&search_layout=grid&type=item&tracking_id=ec482443-c722-423c-b6d6-111838385f30;TESTE
https://produto.mercadolivre.com.br/MLB-3327912839-memoria-ram-fury-ddr4-preto-8gb-1-hyperx-hx426c16fb28-_JM#position=12&search_layout=grid&type=item&tracking_id=ec482443-c722-423c-b6d6-111838385f30;TESTE
https://www.mercadolivre.com.br/memoria-ram-gamer-color-preto-16gb-ddr4-hyperx-kf436c18bba16/p/MLB26665385?pdp_filters=category:MLB1694#searchVariation=MLB26665385&position=3&search_layout=grid&type=product&tracking_id=ec482443-c722-423c-b6d6-111838385f30;TESTE
https://produto.mercadolivre.com.br/MLB-3330732529-memoria-para-desktop-32gb-ddr4-kingston-fury-beast-_JM#position=13&search_layout=grid&type=item&tracking_id=ec482443-c722-423c-b6d6-111838385f30;TESTE
https://produto.mercadolivre.com.br/MLB-3440945202-memoria-kingston-hyper-x-fury-black-8gb-ddr4-hx436c17fb38-_JM#position=14&search_layout=grid&type=item&tracking_id=ec482443-c722-423c-b6d6-111838385f30;TESTE
https://produto.mercadolivre.com.br/MLB-3143100306-memoria-ram-fury-original-kingston-ddr3-color-azul-4gb-_JM#position=15&search_layout=grid&type=item&tracking_id=ec482443-c722-423c-b6d6-111838385f30;TESTE
https://produto.mercadolivre.com.br/MLB-2046398586-memoria-ram-kingston-hyperx-8gb-2666mhz-ddr4-hx426c16fb3-8-_JM#position=16&search_layout=grid&type=item&tracking_id=ec482443-c722-423c-b6d6-111838385f30;TESTE
https://produto.mercadolivre.com.br/MLB-2656331071-memoria-hyperx-fury-4gb-2666mhz-ddr4-cl16-hx426c16fb34-_JM#position=17&search_layout=grid&type=item&tracking_id=ec482443-c722-423c-b6d6-111838385f30;TESTE
https://produto.mercadolivre.com.br/MLB-2635034657-memoria-32gb-ddr4-3200mh-notebook-kingston-fury-impact-_JM#position=18&search_layout=grid&type=item&tracking_id=ec482443-c722-423c-b6d6-111838385f30;TESTE
https://produto.mercadolivre.com.br/MLB-2757374109-memoria-8gb-note-hyperx-kingston-ddr4-2666-hx426s15ib28-_JM#position=19&search_layout=grid&type=item&tracking_id=ec482443-c722-423c-b6d6-111838385f30;TESTE
https://produto.mercadolivre.com.br/MLB-2183139076-memoria-ram-fury-ddr4-color-preto-8gb-1-hyperx-hx426c16fb2-_JM#position=20&search_layout=grid&type=item&tracking_id=ec482443-c722-423c-b6d6-111838385f30;TESTE
https://produto.mercadolivre.com.br/MLB-3251503603-memoria-para-pc-32gb-2666mhz-ddr4-kingston-hyperx-beast-cnf-_JM#position=21&search_layout=grid&type=item&tracking_id=ec482443-c722-423c-b6d6-111838385f30;TESTE
https://produto.mercadolivre.com.br/MLB-1694854580-mem-kingston-hyperx-fury-4gb-2666mhz-ddr4-hx426c16fb34-_JM#position=22&search_layout=grid&type=item&tracking_id=ec482443-c722-423c-b6d6-111838385f30;TESTE
