titulo;preco;qtdVendida;linkVendedor;classificacaoVendedor;marca;sku;categoria;link
Antena Tv Digital Interna Aquário Dtv 100p Ultrahd Cabo 2,5m;23;Novo  |  +100 vendidos;https://lista.mercadolivre.com.br/_CustId_474231497?item_id=MLB3092379182&category_id=MLB44572&seller_id=474231497&client=recoview-selleritems&recos_listing=true;MercadoLíder Gold;Aquário;DTV-100PFG;ANTENA INTERNA;https://produto.mercadolivre.com.br/MLB-3092379182-antena-tv-digital-interna-aquario-dtv-100p-ultrahd-cabo-25m-_JM#position=14&search_layout=grid&type=item&tracking_id=87a58ffc-c1b1-40ed-92c7-8fb7b0a9e24c
Antena Interna E Externa Digital Hdtv 4k Vhf Uhf Fm;24;Novo  |  +1000 vendidos;https://lista.mercadolivre.com.br/_CustId_56705417?item_id=MLB1919331979&category_id=MLB44572&seller_id=56705417&client=recoview-selleritems&recos_listing=true;MercadoLíder Gold;Aquário;DTV-100P;ANTENA INTERNA;https://produto.mercadolivre.com.br/MLB-1919331979-antena-interna-e-externa-digital-hdtv-4k-vhf-uhf-fm-_JM#position=15&search_layout=grid&type=item&tracking_id=87a58ffc-c1b1-40ed-92c7-8fb7b0a9e24c
Novo Amplificador De Antena De Tv Digital 4k 36dbi Hd Dtv Bo;99;Novo  |  +25 vendidos;https://lista.mercadolivre.com.br/_CustId_482703870?item_id=MLB2795127873&category_id=MLB44572&seller_id=482703870&client=recoview-selleritems&recos_listing=true;MercadoLíder;Dapon;Digital TV Antenna;ANTENA INTERNA;https://produto.mercadolivre.com.br/MLB-2795127873-novo-amplificador-de-antena-de-tv-digital-4k-36dbi-hd-dtv-bo-_JM#position=19&search_layout=grid&type=item&tracking_id=87a58ffc-c1b1-40ed-92c7-8fb7b0a9e24c
Antena Digital Amplificada Hdtv/uhf/vhf Interna E Externa;21;Novo  |  +1000 vendidos;https://lista.mercadolivre.com.br/_CustId_786922732?item_id=MLB3537897659&category_id=MLB44572&seller_id=786922732&client=recoview-selleritems&recos_listing=true;MercadoLíder Platinum;Tomate;MTA-3005;ANTENA INTERNA;https://www.mercadolivre.com.br/antena-digital-amplificada-hdtvuhfvhf-interna-e-externa/p/MLB22614561?pdp_filters=category:MLB44572#searchVariation=MLB22614561&position=3&search_layout=grid&type=product&tracking_id=87a58ffc-c1b1-40ed-92c7-8fb7b0a9e24c
Antena Digital Interna Hdtv 4k Vhf Uhf Fm;24;Novo  |  +100 vendidos;https://lista.mercadolivre.com.br/_CustId_56705417?item_id=MLB1891232764&category_id=MLB44572&seller_id=56705417&client=recoview-selleritems&recos_listing=true;MercadoLíder Gold;Aquário;null;ANTENA INTERNA;https://produto.mercadolivre.com.br/MLB-1891232764-antena-digital-interna-hdtv-4k-vhf-uhf-fm-_JM#position=20&search_layout=grid&type=item&tracking_id=87a58ffc-c1b1-40ed-92c7-8fb7b0a9e24c
null;null;null;null;null;null;null;ANTENA INTERNA;https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=aBf6ehmQUGZCM6BxzsXEM6kKMBkI5QozTbY94kt3RpGPobV2QnkRYv0jMOlE47%2Bmuy8pGLayF1epTJdinULMwTkak9%2BMHMG4sb853yP%2FzyjRLVEjLTS07COrKAlZ5IvsFQ7m1LGWIUjzbG3KWqFHcilUUUddkq2MPht8ZmLwqgPOx%2BAv%2BpRqGwAugcy83diYvxVAogToGg2Dou4Fp0FZU%2BP%2BJnoz8sbVpIxDBq4fwviOfnkSbJgCBdR8MO4BY2rjvp20NYjNwi7j%2Ba2a%2FEZnQzxXu6R%2FriD36KJT4G0y9Mcj7UrLHQrHujLisOnDvy%2BnoYcBFPVP%2F94swUm997bHton7Ay%2FslPY5iJvMe1dUtxWBNSYc6DNe%2Bn4mMgTpUKg14VXmR4d%2BMngzLt4ua88acBCygmsSP6T1871lOLwfuSYDC7fDvsx2umbtk7uzqquYgDSZ2uLmXKqTXImD5opScnEcmEUFaXMkwo0%2FZ0foRfb%2BTxzVP6utHf614KnHY4rKaCBzNAwc46fu6spPR7xq7nqF6Za7Mv7P9L4%2BYpYj1h5Z54nJAsyLX2fVf1gwvCJgubkY6isZYv93BIt216kqTjvM0cqen63F3HvF1TReBLcwsDA%2BlCk0CxG6aI5%2BLL14HjLp057M5P2UaRlf%2BMFHr%2B1wrvL4aa4DP0QrpUk1Elv9ShagpREbjalFFxtIPgSJwXP491T%2FoQorpCifuapBKS30gSR6&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fdifferential-cvr-factor%2B29495%2Cmclics%2Fsearch-list-ad-algorithm%2B16026%2Cmclics%2Fshow-pads-search-list%2B5146%2Cmclics%2Fshow-pads-global%2B5176&rb=x
Novo Amplificador De Antena De Tv Digital 4k 36dbi Hd Dtv Bo;99;Novo  |  +25 vendidos;https://lista.mercadolivre.com.br/_CustId_482703870?item_id=MLB2795127873&category_id=MLB44572&seller_id=482703870&client=recoview-selleritems&recos_listing=true;MercadoLíder;Dapon;Digital TV Antenna;ANTENA INTERNA;https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=ypzdmiJ6Xxqr1ORcIr9Klk18hxzU6CQxTPRSerQ1UvMxtVUSEbtXnTaZIxepejUrPKuAUZcmUs4K26zBIWk%2F%2FfBf6sRuXiY1Ni5GY8ljPIoqGprcmBpIuE1Hxx1jb2tO2I%2FhTx1xD4BYrCDUa4Yp5N2dzWiIZXMN1jfpiJLIEIgCdtyCSnhxPQA6gDOy2GMq2eJoeLobbuUfaOSh8ORAGaY6xu3khL0UoK0vVLxv2%2F%2BEvSThUfj2Zj9ClD2y68q%2F%2BXj2XvbvyerWdtVrQ2L%2Fq0n6XVp%2BsKw0LdQdXtWtmSVVvxZsFpkJV%2BMQcEroAd9j0rpm7HDBkK4Ac3RzKZd2AnxOx3b%2F03pnaBMriZa6ImdF1kXHnGoqbeiJfxaxDa5lAiUAbEOXtbo9cBuBhogdjTCbsBY%2B2Pfx9vwTuKsCCQuZp5NIJvnwR4WKJ7idYCBbHd%2FuJaaaeDuxfNqeNNIAPfl2Rt%2BqCgoTcF7KxVfJFxd%2Fx6B8EENo%2FcPf0wtvwog9tgvTdzu7eSCa0jhraLNypEugyn%2BV33beAAeEg95e5sn2WjEYcns2gPZZyz9gExjkuovZlBrMLuPZwNggj6iKGmsJsZQdXVdGkfhGl%2FQGGAUTa7FVuVbo5DA%2FD8RMu03NB831KDkXYz4epOjFVWm%2FydQhSsTXo8COMCAJOu%2FgOZIeBIpw7o7paCtIL5suMpbZI5EpCH%2BprAT2bm8o3G8LTYgoYBUejg%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fdifferential-cvr-factor%2B29495%2Cmclics%2Fsearch-list-ad-algorithm%2B16026%2Cmclics%2Fshow-pads-search-list%2B5146%2Cmclics%2Fshow-pads-global%2B5176&rb=x
Antena Digital Interna Dtv-100p + Booster Amplificador;54;Novo  |  +50 vendidos;https://lista.mercadolivre.com.br/_CustId_52014725?item_id=MLB2079884404&category_id=MLB44572&seller_id=52014725&client=recoview-selleritems&recos_listing=true;MercadoLíder Platinum;Aquário;DTV-100P e BT-26 BOOSTER;ANTENA INTERNA;https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=XMVdNjykS8GsgQgk0xIhdPVtMfGeZazc9b3KfHsqeS%2FF72sXZ8HO9GCtD3o3ifj72dADGstWNE%2FUp2IHyWt4RSHrnMUslxKEYYAXOPKbULtDBaqfLiEkgtRiwpZlWQblllQ%2FllcPw%2B6PysIs1GSe%2B%2ByvfWzC%2BD9%2BfO3G1vq0KKa3ReLUFJV09rAuuJ%2BSgloo9PN9OfEPbnpnUwsbHPlyJY2yB6Wb32no5akqInxUtV6N%2ByNUE81XBWrN%2BcEVVCIfXyEeQoPNLCR6cqQhrnGNYhlYioqjL5KpqA1s1yPPXzEno1V%2FBYNvPSeJKqpb7Z0H9zkN9P6Efc88SFU84eZqCH7GaSHs%2Bk8n3%2FSbHFeGWhZvQKWbpIpeIdV3mN9HWKf6QteSTFadlwODVsM6XrJgMy2Bs4hpN15J2hRETn3oS%2BD%2FTzqSnydV01ajxlTmWKfc%2F227%2BVWB2Bo0sAgx4CGCZdqvSYR8Geld5nJRbZl0wOzx7b%2BJLkf0vLKrPgglSnllXHNLDn7ndwYb3Hi%2Fjoj4Di3N32IrPfHZRDv7rbp6gNBM2sA2Bzy7nN6XObEs2xAwSpae%2B9IMYAYZMduXCGOsuiIX%2BvEqQ4P5cpAzWoapsFbx9tBXzHAOPQvyj5iS4WJ1tnoGVXW%2FF4fNeH4lHpxuoz1%2FOCiFZoX1ew7hkL%2Fn1stlN%2BeqgoOGFJgs1J7QTI820VvNU7jvZjXXdwqDGYdv&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fdifferential-cvr-factor%2B29495%2Cmclics%2Fsearch-list-ad-algorithm%2B16026%2Cmclics%2Fshow-pads-search-list%2B5146%2Cmclics%2Fshow-pads-global%2B5176&rb=x
Antena Digital Interna Dtv-100p + Booster Amplificador;54;Novo  |  +50 vendidos;https://lista.mercadolivre.com.br/_CustId_52014725?item_id=MLB2079884404&category_id=MLB44572&seller_id=52014725&client=recoview-selleritems&recos_listing=true;MercadoLíder Platinum;Aquário;DTV-100P e BT-26 BOOSTER;ANTENA INTERNA;https://produto.mercadolivre.com.br/MLB-2079884404-antena-digital-interna-dtv-100p-booster-amplificador-_JM#position=21&search_layout=grid&type=item&tracking_id=87a58ffc-c1b1-40ed-92c7-8fb7b0a9e24c
Antena Digital Aquario Interna Dtv100 P Tv Hdtv 4k Cabo 2,5m;30;Novo  |  +50 vendidos;https://www.mercadolivre.com.br/pagina/loja_ocamelo?item_id=MLB3137305966&category_id=MLB44572&seller_id=104756601&client=recoview-selleritems&recos_listing=true;null;Aquário;DTV-100PFG;ANTENA INTERNA;https://produto.mercadolivre.com.br/MLB-3137305966-antena-digital-aquario-interna-dtv100-p-tv-hdtv-4k-cabo-25m-_JM#position=22&search_layout=grid&type=item&tracking_id=87a58ffc-c1b1-40ed-92c7-8fb7b0a9e24c
